timestamp;AXIS_ACT;POS_ACT;TORQUE_A1;TORQUE_A2;TORQUE_A3;TORQUE_A4;TORQUE_A5;TORQUE_A6;MOT_TEMP_A1;MOT_TEMP_A2;MOT_TEMP_A3;MOT_TEMP_A4;MOT_TEMP_A5;MOT_TEMP_A6;CURR_A1;CURR_A2;CURR_A3;CURR_A4;CURR_A5;CURR_A6;VEL_AXIS_ACT_A1;VEL_AXIS_ACT_A2;VEL_AXIS_ACT_A3;VEL_AXIS_ACT_A4;VEL_AXIS_ACT_A5;VEL_AXIS_ACT_A6;VEL_ACT;OV_PRO;BRAKE_SIG;MODE_OP;PRO_STATE1
2025-11-27 14:16:19.012;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-3.86439586;3.68191719;12.1356802;1.86274981;2.93205690;0.283422112;295;295;294;296;295;295;0.0168300606;0.00953703374;0.0454411656;-0.0356049277;-0.0254320912;0.00254320912;0.00152583327;0.0;0.000325052097;0.0;0.000280047447;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:19.253;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-0.371576667;5.52287626;14.6201515;1.39706242;1.75923419;0.688311040;295;295;294;296;295;295;0.0207570754;-0.00841503;0.126786456;-0.0343333222;-0.0267036967;-0.00254320912;0.0;-0.000305277907;0.000325052097;0.0;0.000280047447;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:19.494;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-0.817468166;-1.43185699;18.7290821;0.582109272;1.34874618;-0.202444553;295;295;294;296;295;295;0.0224400815;0.0168300606;0.0431971550;-0.0241604857;-0.0305185094;0.0356049277;-0.000610555522;-0.000610278;0.000650400238;0.0;-0.000280047447;-0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:19.735;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-1.26335967;3.27281547;8.79120159;1.80453885;1.99379885;1.74102211;295;295;294;296;295;295;0.0274890978;-0.0117810424;0.0959313437;-0.0203456730;-0.00762962736;0.0241604857;0.0;0.000305277907;0.0;0.0;0.000280047447;0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:19.972;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-1.48630619;-0.409102172;12.0401230;2.03738260;2.58021021;-0.688311338;295;295;294;296;295;295;0.0291721057;0.0207570754;0.113883406;-0.0305185094;-0.0495925769;0.0101728365;0.00152583327;0.000610278;0.000650400238;0.0;-0.000280047447;-0.000633922522;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:20.201;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-1.63493693;-1.32958198;13.1868029;1.68811691;0.938258410;0.242932782;295;295;294;296;295;295;0.0196350701;-0.0134640485;0.0645152330;-0.0356049277;-0.0445061587;0.00381481368;0.00122083328;0.0;-0.000325348141;-0.000541587127;0.0;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:20.437;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-2.37808967;-4.60239840;16.1490555;2.03738236;1.23146403;-0.121451579;295;295;294;296;295;296;0.0117810424;0.00617102208;0.105468385;-0.0534073934;-0.0356049277;0.0139876502;0.0;-0.000305277907;0.0;0.0;-0.000280047447;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:20.670;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.891783476;0.715928137;19.3979759;2.15380430;1.70059288;-0.404750407;295;295;294;296;295;296;0.0325381160;0.00504901819;0.0796622857;-0.0445061587;-0.0305185094;0.0178024638;0.000305277761;0.000305277907;0.0;0.0;0.0;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:20.910;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-2.97261238;2.35233688;17.2957344;0.407476544;1.70059288;0.364229500;295;295;294;296;295;296;0.00561002037;-0.00448801601;0.0936873406;-0.0343333222;-0.0216172785;-0.0139876502;-0.000610277755;0.000610278;0.0;0.0;0.000280047447;0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:21.139;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-2.52672052;3.17054;14.1423683;2.61949182;0.762334764;0.364205092;295;295;294;296;295;296;0.0112200407;-0.0179520641;0.0981753543;-0.0546789952;-0.0661234409;-0.00254320912;0.000610277755;-0.00122055598;0.0;0.0;0.0;-0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:16:21.379;{E6AXIS: A1 -9.09999943, A2 -140.057190, A3 125.564560, A4 -35.3082085, A5 29.5542088, A6 9.39463520, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-2.00651336;-0.920479953;16.9135056;1.57169509;2.22836328;0.283259720;295;295;294;296;295;296;0.0100980364;0.0286111031;0.0532951914;-0.0292469040;-0.0737530664;0.0241604857;-0.000915555574;0.0;0.0;-0.000541587127;0.0;0.0;0.0;100;0;#T1;#P_FREE
